Node,Edge,Weight
A.I.M.,Scarlet Witch,5
A.I.M.,Sharon Carter,3
A.I.M.,She-Hulk,3
A.I.M.,Sin,1
A.I.M.,Skrulls,1
A.I.M.,Spider-Man,4
A.I.M.,Spider-Woman,1
A.I.M.,Taskmaster,1
A.I.M.,Thor,6
A.I.M.,Titanium Man,5
A.I.M.,Tony Stark,1
A.I.M.,Ultimatum,1
A.I.M.,Ultron,1
A.I.M.,Umar,2
A.I.M.,Vision,4
A.I.M.,Whiplash,1
A.I.M.,Wolverine,7
A.I.M.,Wrecker,1
A.I.M.,Yellow Claw,2
Aaron Stack,Absorbing Man,3
Aaron Stack,Adam Warlock,2
Aaron Stack,Alpha Flight,2
Aaron Stack,Beast,2
Aaron Stack,Belasco,1
Aaron Stack,Black Bolt,2
Aaron Stack,Black Panther,2
Aaron Stack,Black Widow,1
Aaron Stack,Boomerang,6
Aaron Stack,Bruce Banner,1
Aaron Stack,Captain Britain,1
Aaron Stack,Captain Marvel,7
Aaron Stack,Celestials,1
Aaron Stack,Daredevil,3
Aaron Stack,Dark Avengers,6
Aaron Stack,Doctor Doom,2
Aaron Stack,Galactus,1
Aaron Stack,Gargoyle,7
Aaron Stack,Hank Pym,2
Aaron Stack,Immortus,5
Aaron Stack,Iron Man,2
Aaron Stack,Juggernaut,2
Aaron Stack,Kang,3
Aaron Stack,Loki,3
Aaron Stack,Luke Cage,6
Aaron Stack,Mach IV,4
Aaron Stack,Machine Man,1
Aaron Stack,Magneto,1
Aaron Stack,Man-Thing,6
Aaron Stack,Mephisto,3
Aaron Stack,Moon Knight,1
Aaron Stack,Mr. Hyde,6
Aaron Stack,Namor,1
Aaron Stack,Nightcrawler,1
Aaron Stack,Peter Parker,2
Aaron Stack,Red Hulk,2
Aaron Stack,Satana,6
Aaron Stack,She-Hulk,1
Aaron Stack,Silver Surfer,4
Aaron Stack,Skaar,6
Aaron Stack,Songbird,5
Aaron Stack,Spider-Man,6
Aaron Stack,Stephen Strange,1
Aaron Stack,Steve Rogers,1
Aaron Stack,Storm,2
Aaron Stack,Sue Storm,6
Aaron Stack,Sunfire,2
Aaron Stack,Supreme Intelligence,4
Aaron Stack,Thaddeus Ross,1
Aaron Stack,Thanos,4
Aaron Stack,Thing,5
Aaron Stack,Thor,5
Aaron Stack,Thunderbolts,6
Aaron Stack,Uatu The Watcher,2
Aaron Stack,War Machine,1
Aaron Stack,Wendigo,2
Abomination,Adam Warlock,4
Abomination,Ant-Man,2
Abomination,Archangel,6
Abomination,Banshee,1
Abomination,Baron Strucker,2
Abomination,Baron Zemo,2
Abomination,Beast,5
Abomination,Betty Ross,11
Abomination,Black Bolt,1
Abomination,Black Knight,4
Abomination,Black Panther,3
Abomination,Black Widow,1
Abomination,Boomerang,1
Abomination,Bruce Banner,8
Abomination,Cannonball,1
Abomination,Captain America,7
Abomination,Captain Britain,2
Abomination,Captain Marvel,3
Abomination,Ch'od,1
Abomination,Charles Xavier,1
Abomination,Clea,2
Abomination,Colossus,6
Abomination,Corsair,2
Abomination,Crimson Dynamo,1
Abomination,Crystal,1
Abomination,Cyclops,4
Abomination,Daredevil,3
Abomination,Doc Samson,11
Abomination,Doctor Doom,3
Abomination,Doctor Strange,5
Abomination,Drax,1
Abomination,Edwin Jarvis,2
Abomination,Falcon,3
Abomination,Firestar,1
Abomination,Galactus,2
Abomination,Gambit,3
Abomination,Gladiator,2
Abomination,Glenn Talbot,1
Abomination,Hank Pym,6
Abomination,Havok,2
Abomination,Hawkeye,2
Abomination,Hepzibah,1
Abomination,Hercules,3
Abomination,High Evolutionary,2
Abomination,Hobgoblin,1
Abomination,Hulk,41
Abomination,Human Torch,3
Abomination,Hydra,1
Abomination,Imperial Guard,2
Abomination,Impossible Man,1
Abomination,In-Betweener,1
Abomination,Invisible Woman,2
Abomination,Iron Man,9
Abomination,Jean Grey,3
Abomination,Juggernaut,6
Abomination,Justice,1
Abomination,Karnak,1
Abomination,Killraven,2
Abomination,Kingpin,1
Abomination,Kitty Pryde,1
Abomination,Korg,2
Abomination,Leader,5
Abomination,Lilandra,1
Abomination,Loki,2
Abomination,Lyja,1
Abomination,M.O.D.O.K.,1
Abomination,Machine Man,1
Abomination,Maestro,2
Abomination,Maggott,1
Abomination,Magik,1
Abomination,Magneto,2
Abomination,Mandarin,2
Abomination,Maria Hill,1
Abomination,Marrow,2
Abomination,Medusa,1
Abomination,Mole Man,1
Abomination,Mr. Fantastic,1
Abomination,Mr. Fixit,1
Abomination,Mystique,1
Abomination,Namor,2
Abomination,Nick Fury,3
Abomination,Nightcrawler,4
Abomination,Norman Osborn,2
Abomination,Penance,1
Abomination,Photon,1
Abomination,Power Pack,1
Abomination,Professor X,1
Abomination,Puppet Master,1
Abomination,Quicksilver,3
Abomination,Red Hulk,1
Abomination,Red She-Hulk,1
Abomination,Rhino,3
Abomination,Rick Jones,5
Abomination,Rogue,1
Abomination,Sabra,1
Abomination,Sabretooth,1
Abomination,Sandman,1
Abomination,Scarlet Witch,2
Abomination,Selene,1
Abomination,She-Hulk,5
Abomination,Silver Surfer,3
Abomination,Skaar,2
Abomination,Spider-Man,3
Abomination,Stacy X,1
Abomination,Storm,2
Abomination,Strong Guy,1
Abomination,Sub-Mariner,4
Abomination,Super-Skrull,2
Abomination,Thaddeus Ross,1
Abomination,The Stranger,2
Abomination,Thing,1
Abomination,Thor,3
Abomination,Thunderbird,1
Abomination,Thunderbolt Ross,9
Abomination,Tyrannus,1
Abomination,Venom,1
Abomination,Vision,2
Abomination,Wasp,2
Abomination,Wolverine,5
Abomination,Wong,2
Abomination,Zzzax,1
Absorbing Man,Adam Warlock,4
Absorbing Man,Agent Zero,1
Absorbing Man,Alexander Pierce,1
Absorbing Man,Amadeus Cho,2
Absorbing Man,Amora,1
Absorbing Man,Annihilus,5
Absorbing Man,Apocalypse,1
Absorbing Man,Archangel,3
Absorbing Man,Atlas,1
Absorbing Man,Attuma,2
Absorbing Man,Balder,6
Absorbing Man,Banshee,1
Absorbing Man,Baron Strucker,1
Absorbing Man,Baron Zemo,3
Absorbing Man,Beast,9
Absorbing Man,Beetle,1
Absorbing Man,Belasco,1
Absorbing Man,Beta-Ray Bill,1
Absorbing Man,Beyonder,1
Absorbing Man,Black Bolt,9
Absorbing Man,Black Knight,5
Absorbing Man,Black Panther,2
Absorbing Man,Black Widow,3
Absorbing Man,Blastaar,4
Absorbing Man,Bloodstorm,3
Absorbing Man,Bride of Nine Spiders,1
Absorbing Man,Bruce Banner,5
Absorbing Man,Captain America,14
Absorbing Man,Captain Britain,3
Absorbing Man,Captain Marvel,9
Absorbing Man,Celestials,1
Absorbing Man,Chamber,1
Absorbing Man,Chameleon,2
Absorbing Man,Charles Xavier,1
Absorbing Man,Colossus,6
Absorbing Man,Constrictor,4
Absorbing Man,Corsair,1
Absorbing Man,Crimson Dynamo,1
Absorbing Man,Crossbones,1
Absorbing Man,Cyclops,9
Absorbing Man,Daredevil,9
Absorbing Man,Dark Avengers,2
Absorbing Man,Darkstar,1
Absorbing Man,Dazzler,3
Absorbing Man,Deadpool,2
Absorbing Man,Deathlok,1
Absorbing Man,Deviants,1
Absorbing Man,Doc Samson,4
Absorbing Man,Doctor Doom,7
Absorbing Man,Doctor Octopus,4
Absorbing Man,Doctor Strange,4
Absorbing Man,Dog Brother #1,1
Absorbing Man,Dormammu,1
Absorbing Man,Dragon Man,5
Absorbing Man,Edwin Jarvis,1
Absorbing Man,Electro,3
Absorbing Man,Eternals,1
Absorbing Man,Falcon,5
Absorbing Man,Fat Cobra,1
Absorbing Man,Fenris,1
Absorbing Man,Firelord,1
Absorbing Man,GW Bridge,1
Absorbing Man,Galactus,3
Absorbing Man,Gargoyle,4
Absorbing Man,Giant Man,1
Absorbing Man,Grey Gargoyle,4
Absorbing Man,Guardian,1
Absorbing Man,Hammerhead,2
Absorbing Man,Hank Pym,4
Absorbing Man,Havok,2
Absorbing Man,Hawkeye,5
Absorbing Man,Hela,1
Absorbing Man,Hercules,6
Absorbing Man,Hobgoblin,3
Absorbing Man,Hulk,21
Absorbing Man,Human Torch,12
Absorbing Man,Hydra,2
Absorbing Man,Iceman,5
Absorbing Man,Immortus,4
Absorbing Man,Inhumans,1
Absorbing Man,Invisible Woman,7
Absorbing Man,Iron Fist,2
Absorbing Man,Iron Man,10
Absorbing Man,Iron Patriot,1
Absorbing Man,Jane Foster,7
Absorbing Man,Jigsaw,1
Absorbing Man,Jocasta,3
Absorbing Man,Juggernaut,3
Absorbing Man,Justice,1
Absorbing Man,Kang,3
Absorbing Man,Klaw,3
Absorbing Man,Lizard,3
Absorbing Man,Lockheed,2
Absorbing Man,Lockjaw,1
Absorbing Man,Loki,21
Absorbing Man,Luke Cage,2
Absorbing Man,Mad Thinker,1
Absorbing Man,Magneto,5
Absorbing Man,Malekith,1
Absorbing Man,Marauders,1
Absorbing Man,Marrow,1
Absorbing Man,Mephisto,2
Absorbing Man,Mole Man,1
Absorbing Man,Molten Man,1
Absorbing Man,Moonstone,1
Absorbing Man,Mr. Fantastic,8
Absorbing Man,Mr. Fixit,2
Absorbing Man,Mysterio,1
Absorbing Man,Mystique,1
Absorbing Man,Namor,4
Absorbing Man,Nick Fury,4
Absorbing Man,Nightcrawler,5
Absorbing Man,Norman Osborn,2
Absorbing Man,Odin,10
Absorbing Man,Penance,1
Absorbing Man,Peter Parker,1
Absorbing Man,Prince of Orphans,1
Absorbing Man,Professor X,3
Absorbing Man,Prowler,2
Absorbing Man,Psycho-Man,1
Absorbing Man,Puck,5
Absorbing Man,Puma,2
Absorbing Man,Quasar,2
Absorbing Man,Quicksilver,7
Absorbing Man,Red Ghost,2
Absorbing Man,Red Skull,1
Absorbing Man,Reptil,4
Absorbing Man,Rhino,2
Absorbing Man,Rick Jones,5
Absorbing Man,Rogue,3
Absorbing Man,Sabretooth,1
Absorbing Man,Sasquatch,1
Absorbing Man,Scarlet Witch,2
Absorbing Man,Secret Warriors,1
Absorbing Man,She-Hulk,6
Absorbing Man,Shocker,2
Absorbing Man,Sif,6
Absorbing Man,Silver Surfer,3
Absorbing Man,Silvermane,2
Absorbing Man,Sin,2
Absorbing Man,Skaar,3
Absorbing Man,Spider-Man,8
Absorbing Man,Stature,2
Absorbing Man,Stephen Strange,1
Absorbing Man,Storm,2
Absorbing Man,Sue Storm,3
Absorbing Man,Surtur,2
Absorbing Man,Thanos,3
Absorbing Man,The Hood,7
Absorbing Man,Thing,9
Absorbing Man,Thor,29
Absorbing Man,Thor Girl,1
Absorbing Man,Thunderball,1
Absorbing Man,Tiger's Beautiful Daughter,1
Absorbing Man,Tigra,1
Absorbing Man,Titania,31
Absorbing Man,Toad,1
Absorbing Man,Tomorrow Man,1
Absorbing Man,U.S. Agent,2
Absorbing Man,Ulik,1
Absorbing Man,Ultron,1
Absorbing Man,Vision,4
Absorbing Man,Wasp,1
Absorbing Man,Wolverine,3
Absorbing Man,Wong,1
Absorbing Man,Wrecking Crew,1
Absorbing Man,Yellowjacket,3
Abyss,Angel,2
Abyss,Apocalypse,4
Abyss,Archangel,6
Abyss,Aurora,2
Abyss,Avalanche,4
Abyss,Banshee,2
Abyss,Beast,5
Abyss,Bishop,4
Abyss,Blink,4
Abyss,Blob,8
Abyss,Captain Britain,3
Abyss,Chamber,4
Abyss,Colossus,4
Abyss,Cyclops,4
Abyss,Emma Frost,3
Abyss,Gambit,4
Abyss,Havok,6
Abyss,Holocaust,4
Abyss,Husk,4
Abyss,Iceman,10
Abyss,Jean Grey,5
Abyss,Jubilee,6
Abyss,Juggernaut,2
Abyss,Karma,2
Abyss,Magma,3
Abyss,Magneto,4
Abyss,Mariko Yashida,1
Abyss,Mastermind,3
Abyss,Mikhail Rasputin,2
Abyss,Moira MacTaggert,1
Abyss,Mystique,4
Abyss,Nightcrawler,6
Abyss,Northstar,1
Abyss,Polaris,2
Abyss,Professor X,1
Abyss,Stacy X,4
Abyss,The Renegades,1
Abyss,Weapon X,1
Abyss,Wolverine,3
Adam Warlock,Alicia Masters,2
Adam Warlock,Alpha Flight,2
Adam Warlock,Annihilus,4
Adam Warlock,Ant-Man,1
Adam Warlock,Archangel,11
Adam Warlock,Arclight,1
Adam Warlock,Avalanche,1
Adam Warlock,Banshee,11
Adam Warlock,Baron Strucker,1
Adam Warlock,Baron Zemo,1
Adam Warlock,Beast,17
Adam Warlock,Belasco,1
Adam Warlock,Beta-Ray Bill,1
Adam Warlock,Betty Ross,1
Adam Warlock,Bishop,2
Adam Warlock,Black Bolt,9
Adam Warlock,Black Knight,4
Adam Warlock,Black Panther,4
Adam Warlock,Black Widow,6
Adam Warlock,Blade,2
Adam Warlock,Blastaar,5
Adam Warlock,Blob,2
Adam Warlock,Bloodstorm,2
Adam Warlock,Boom Boom,5
Adam Warlock,Boomer,1
Adam Warlock,Cable,2
Adam Warlock,Caliban,4
Adam Warlock,Callisto,4
Adam Warlock,Cannonball,20
Adam Warlock,Captain America,17
Adam Warlock,Captain Britain,5
Adam Warlock,Captain Marvel,15
Adam Warlock,Celestials,1
Adam Warlock,Ch'od,4
Adam Warlock,Chamber,2
Adam Warlock,Charles Xavier,5
Adam Warlock,ClanDestine,1
Adam Warlock,Clea,3
Adam Warlock,Colossus,30
Adam Warlock,Corsair,3
Adam Warlock,Cosmo,1
Adam Warlock,Count Nefaria,1
Adam Warlock,Crimson Dynamo,2
Adam Warlock,Crusher Hogan,1
Adam Warlock,Crystal,2
Adam Warlock,Cyclops,18
Adam Warlock,Dani Moonstar,1
Adam Warlock,Daredevil,9
Adam Warlock,Dark Phoenix,2
Adam Warlock,Darkhawk,1
Adam Warlock,Dazzler,9
Adam Warlock,Deadpool,1
Adam Warlock,Deathlok,2
Adam Warlock,Defenders,1
Adam Warlock,Destiny,1
Adam Warlock,Diablo,2
Adam Warlock,Doc Samson,2
Adam Warlock,Doctor Doom,8
Adam Warlock,Doctor Strange,14
Adam Warlock,Domino,5
Adam Warlock,Dormammu,1
Adam Warlock,Drax,17
Adam Warlock,Ego,2
Adam Warlock,Elektra,1
Adam Warlock,Emma Frost,2
Adam Warlock,Eternity,4
Adam Warlock,Excalibur,1
Adam Warlock,Falcon,1
Adam Warlock,Forge,7
Adam Warlock,Franklin Richards,2
Adam Warlock,Galactus,20
Adam Warlock,Gambit,6
Adam Warlock,Gamora,20
Adam Warlock,Gargoyle,2
Adam Warlock,Gateway,3
Adam Warlock,Genis-Vell,1
Adam Warlock,Ghost Rider,5
Adam Warlock,Gladiator,4
Adam Warlock,Glenn Talbot,1
Adam Warlock,Guardian,1
Adam Warlock,Guardians of the Galaxy,18
Adam Warlock,Hank Pym,5
Adam Warlock,Harpoon,2
Adam Warlock,Havok,14
Adam Warlock,Hawkeye,6
Adam Warlock,Hecate,1
Adam Warlock,Hellcat,1
Adam Warlock,Hepzibah,4
Adam Warlock,Hercules,3
Adam Warlock,High Evolutionary,10
Adam Warlock,Hobgoblin,1
Adam Warlock,Holocaust,1
Adam Warlock,Howard The Duck,2
Adam Warlock,Hulk,20
Adam Warlock,Human Torch,11
Adam Warlock,Hyperion,1
Adam Warlock,Iceman,7
Adam Warlock,Immortus,3
Adam Warlock,Imperial Guard,2
Adam Warlock,Impossible Man,2
Adam Warlock,Inhumans,1
Adam Warlock,Invisible Woman,9
Adam Warlock,Iron Man,15
Adam Warlock,J. Jonah Jameson,1
Adam Warlock,Jean Grey,6
Adam Warlock,Jigsaw,2
Adam Warlock,Jubilee,4
Adam Warlock,Juggernaut,3
Adam Warlock,Kang,3
Adam Warlock,Karma,2
Adam Warlock,Karnak,2
Adam Warlock,Kingpin,2
Adam Warlock,Kitty Pryde,2
Adam Warlock,Klaw,1
Adam Warlock,Korvac,1
Adam Warlock,Kulan Gath,1
Adam Warlock,Leader,1
Adam Warlock,Leech,1
Adam Warlock,Legion,2
Adam Warlock,Lila Cheney,1
Adam Warlock,Lilandra,4
Adam Warlock,Lockheed,5
Adam Warlock,Lockjaw,2
Adam Warlock,Loki,6
Adam Warlock,Longshot,7
Adam Warlock,Lyja,1
Adam Warlock,Magik,2
Adam Warlock,Magma,16
Adam Warlock,Magneto,11
Adam Warlock,Magus,10
Adam Warlock,Man-Thing,2
Adam Warlock,Marrow,1
Adam Warlock,Marvel Boy,1
Adam Warlock,Medusa,3
Adam Warlock,Meltdown,2
Adam Warlock,Mephisto,10
Adam Warlock,Mesmero,1
Adam Warlock,Moira MacTaggert,1
Adam Warlock,Mole Man,3
Adam Warlock,Moon Knight,1
Adam Warlock,Moondragon,8
Adam Warlock,Mr. Fantastic,9
Adam Warlock,Namor,1
Adam Warlock,Nebula,3
Adam Warlock,New Mutants,7
Adam Warlock,Nick Fury,1
Adam Warlock,Nightcrawler,13
Adam Warlock,Nightmare,1
Adam Warlock,Norman Osborn,3
Adam Warlock,Northstar,2
Adam Warlock,Nova,5
Adam Warlock,Odin,3
Adam Warlock,Penance,1
Adam Warlock,Peter Parker,1
Adam Warlock,Pip,17
Adam Warlock,Power Pack,1
Adam Warlock,Professor X,5
Adam Warlock,Psylocke,6
Adam Warlock,Punisher,4
Adam Warlock,Puppet Master,1
Adam Warlock,Pyro,1
Adam Warlock,Quasar,10
Adam Warlock,Quasimodo,1
Adam Warlock,Quicksilver,3
Adam Warlock,Rachel Grey,1
Adam Warlock,Raza,2
Adam Warlock,Red Skull,1
Adam Warlock,Rick Jones,1
Adam Warlock,Rictor,6
Adam Warlock,Riptide,2
Adam Warlock,Risque,1
Adam Warlock,Rocket Raccoon,5
Adam Warlock,Rogue,13
Adam Warlock,Ronan,6
Adam Warlock,Sabretooth,1
Adam Warlock,Sage,1
Adam Warlock,Sandman,1
Adam Warlock,Sasquatch,3
Adam Warlock,Scarlet Witch,9
Adam Warlock,Sentinel,2
Adam Warlock,Sentinels,1
Adam Warlock,Sersi,1
Adam Warlock,Shalla-bal,4
Adam Warlock,Shanna the She-Devil,4
Adam Warlock,Shatterstar,3
Adam Warlock,She-Hulk,3
Adam Warlock,Sif,3
Adam Warlock,Silver Surfer,27
Adam Warlock,Spider-Girl,1
Adam Warlock,Spider-Man,17
Adam Warlock,Spiral,2
Adam Warlock,Star-Lord,9
Adam Warlock,Starfox,2
Adam Warlock,Stephen Strange,1
Adam Warlock,Storm,21
Adam Warlock,Strong Guy,1
Adam Warlock,Sub-Mariner,8
Adam Warlock,Sue Storm,2
Adam Warlock,Sunspot,23
Adam Warlock,Super-Skrull,4
Adam Warlock,Sym,1
Adam Warlock,Talon,1
Adam Warlock,Thanos,38
Adam Warlock,The Collector,1
Adam Warlock,The Watchers,1
Adam Warlock,Thing,11
Adam Warlock,Thor,16
Adam Warlock,Thunderbird,1
Adam Warlock,Triton,1
Adam Warlock,U.S. Agent,1
Adam Warlock,Uatu The Watcher,1
Adam Warlock,Ultron,9
Adam Warlock,Valkyrie,2
Adam Warlock,Vertigo,2
Adam Warlock,Vision,3
Adam Warlock,Warlock,1
Adam Warlock,Warpath,4
Adam Warlock,Wasp,3
Adam Warlock,Werewolf By Night,1
Adam Warlock,Wolfsbane,6
Adam Warlock,Wolverine,21
Adam Warlock,Wonder Man,2
Adam Warlock,Wong,1
Adam Warlock,Wraith,3
Adam Warlock,X-Factor,2
Adam Warlock,X-Force,4
Adam Warlock,Xorn,2
Adam Warlock,Yellow Claw,1
Aero,Agents of Atlas,4
Aero,Amadeus Cho,5
Aero,Black Cat,7
Aero,Black Knight,1
Aero,Iron Man,2
Aero,Jimmy Woo,1
Aero,Luna Snow,7
Aero,Namor,3
Aero,Punisher,1
Aero,Shang-Chi,2
Aero,Silk,8
Aero,Spider-Man,1
Aero,Storm,4
Aero,Sword Master,6
Aero,Wave,14
Agatha Harkness,Black Knight,1
Agatha Harkness,Black Widow,1
Agatha Harkness,Blade,2
Agatha Harkness,Captain America,7
Agatha Harkness,Captain Marvel,2
Agatha Harkness,Doctor Doom,1
Agatha Harkness,Doctor Voodoo,1
Agatha Harkness,Franklin Storm,2
Agatha Harkness,Hellcat,5
Agatha Harkness,Hulk,1
Agatha Harkness,Human Torch,3
Agatha Harkness,Invisible Woman,3
Agatha Harkness,Iron Man,3
Agatha Harkness,Kang,3
Agatha Harkness,Klaw,1
Agatha Harkness,Lethal Legion,1
Agatha Harkness,Loki,4
Agatha Harkness,Magik,2
Agatha Harkness,Magneto,1
Agatha Harkness,Man-Thing,1
Agatha Harkness,Mantis,3
Agatha Harkness,Masters of Evil,1
Agatha Harkness,Mr. Fantastic,3
Agatha Harkness,Nick Fury,4
Agatha Harkness,Nico Minoru,1
Agatha Harkness,Radioactive Man,1
Agatha Harkness,Salem's Seven,3
Agatha Harkness,Scarlet Witch,16
Agatha Harkness,She-Hulk,1
Agatha Harkness,Spider-Man,1
Agatha Harkness,Spider-Woman,1
Agatha Harkness,Swordsman,4
Agatha Harkness,Thing,3
Agatha Harkness,Thor,5
Agatha Harkness,Ultron,2
Agatha Harkness,Vision,7
Agatha Harkness,Wasp,2
Agatha Harkness,Whirlwind,2
Agatha Harkness,Wolverine,2
Agatha Harkness,Wonder Man,1
Agent Brand,Armor,3
Agent Brand,Beast,11
Agent Brand,Boom Boom,1
Agent Brand,Cable,6
Agent Brand,Cannonball,1
Agent Brand,Captain Marvel,1
Agent Brand,Cecilia Reyes,3
Agent Brand,Colossus,7
Agent Brand,Cyclops,5
Agent Brand,Dazzler,1
Agent Brand,Deathbird,3
Agent Brand,Doctor Doom,1
Agent Brand,Domino,1
Agent Brand,Emma Frost,8
Agent Brand,Fabian Cortez,2
Agent Brand,Forge,1
Agent Brand,Frenzy,1
Agent Brand,Guardians of the Galaxy,1
Agent Brand,Hellcat,1
Agent Brand,Hope Summers,1
Agent Brand,Hulkling,1
Agent Brand,Jubilee,5
Agent Brand,Kitty Pryde,6
Agent Brand,M,4
Agent Brand,Magneto,8
Agent Brand,Mother Askani,1
Agent Brand,Nemesis,1
Agent Brand,Nova,1
Agent Brand,Ord,1
Agent Brand,Prodigy,1
Agent Brand,Professor X,2
Agent Brand,Psylocke,4
Agent Brand,Rachel Grey,4
Agent Brand,She-Hulk,1
Agent Brand,Storm,13
Agent Brand,Sunspot,4
Agent Brand,Valkyrie,1
Agent Brand,Vulcan,2
Agent Brand,Wolverine,8
Agent Brand,X-Force,1
Agent X,Arcade,1
Agent X,Beast,1
Agent X,Black Panther,1
Agent X,"Bob, Agent of Hydra",1
Agent X,Cable,4
Agent X,Constrictor,1
Agent X,Cyclops,1
Agent X,Deadpool,6
Agent X,Doctor Strange,1
Agent X,Emma Frost,1
Agent X,Human Torch,1
Agent X,Invisible Woman,1
Agent X,Mr. Fantastic,1
Agent X,Outlaw,1
Agent X,Punisher,1
Agent X,Rhino,1
Agent X,Silver Surfer,1
Agent X,Storm,1
Agent X,Taskmaster,9
Agent X,Thing,1
Agent X,Wolverine,1
Agent Zero,Alpha Flight,1
Agent Zero,Apocalypse,2
Agent Zero,Archangel,1
Agent Zero,Aurora,4
Agent Zero,Banshee,1
Agent Zero,Beast,5
Agent Zero,Bishop,1
Agent Zero,Chamber,7
Agent Zero,Colossus,3
Agent Zero,Cyber,1
Agent Zero,Cyclops,4
Agent Zero,Deadpool,2
Agent Zero,Domino,1
Agent Zero,Fantomex,6
Agent Zero,Gambit,4
Agent Zero,Guardian,1
Agent Zero,Hammerhead,1
Agent Zero,Hulk,1
Agent Zero,Iceman,3
Agent Zero,Iron Fist,1
Agent Zero,Iron Man,12
Agent Zero,John Wraith,1
Agent Zero,Jubilee,9
Agent Zero,Lady Deathstrike,1
Agent Zero,Longshot,2
Agent Zero,Magneto,1
Agent Zero,Malcolm Colcord,2
Agent Zero,Marrow,4
Agent Zero,Mastermind,1
Agent Zero,Maverick,2
Agent Zero,Meltdown,1
Agent Zero,Mesmero,3
Agent Zero,Mojo,1
Agent Zero,Mystique,2
Agent Zero,Nick Fury,4
Agent Zero,Nightcrawler,3
Agent Zero,Omega Red,2
Agent Zero,Professor X,1
Agent Zero,Psylocke,4
Agent Zero,Puck,1
Agent Zero,Pyro,1
Agent Zero,Red Ghost,1
Agent Zero,Rogue,5
Agent Zero,Sabretooth,15
Agent Zero,Sasquatch,1
Agent Zero,Sauron,3
Agent Zero,Shiva,2
Agent Zero,Silver Fox,5
Agent Zero,Silver Samurai,1
Agent Zero,Silvermane,1
Agent Zero,Spider-Man,1
Agent Zero,Storm,1
Agent Zero,Stryfe,1
Agent Zero,Sunfire,1
Agent Zero,The Professor,2
Agent Zero,Thunderbird,1
Agent Zero,Toad,2
Agent Zero,Vindicator,1
Agent Zero,Warhawk,2
